f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,covid
-371.87836,69.63059,-0.61250335,26.12717,-22.087904,14.654024,-13.010108,-17.873798,-5.7213163,-8.865502,8.550071,-7.7385707,-10.836263,-8.5408745,-2.5135226,2.750115,-9.464089,-13.011705,-8.03641,-11.257762,-5.179428,-0.72916496,-7.9249525,-4.911697,-5.1212573,-4.3381114,-2.2467585,-3.986601,-4.8380094,-4.057098,-1.9905986,0.041139264,-0.7008928,-2.6984909,0.43777102,0.2049811,1.0016755,-0.93114936,-0.6677845,1.1246916,0
-450.4881,45.41034,-0.26128152,26.570602,-4.231097,7.253403,-10.779913,1.4009415,-4.134761,-2.3268127,-4.850346,-5.0784802,-1.6833028,-9.508209,-7.8049836,-12.500312,-7.6907024,-6.5750537,-5.753064,-6.952333,-5.111974,-2.827451,-3.7140074,-2.975043,-1.1412089,-2.8471816,-3.3147209,-1.0851799,-3.1701365,-0.642348,-1.2106481,-1.7441018,-1.1516793,0.25832024,-1.586367,-0.6341087,0.06331363,-1.2406367,0.63619065,-0.8346866,0
-598.1918,30.373201,5.2170167,25.173267,-8.584389,7.327053,-13.661225,4.648833,0.5422266,-0.013128167,-1.3759357,-4.3013744,-1.5773169,-11.330606,-2.2118633,-4.3160315,-4.1998343,-9.055822,-2.9177186,-3.6438704,-5.430158,-0.942804,-5.54407,-1.8396263,-1.1824907,-0.5744801,-1.123602,0.52403873,-0.5940201,-0.5841192,-0.4802524,-1.1523931,0.26345405,-2.058947,-1.3766475,-1.2872425,-0.9168248,-0.9780055,-1.2781886,-0.81282324,0
-446.32208,47.95325,-19.19335,14.404444,-8.678304,5.245818,-7.2654214,-4.413748,-14.103008,7.6026897,4.059634,-8.106564,-1.4703636,-2.4408076,-0.4333198,-9.183986,-2.313138,-2.2136726,-4.726685,-5.996921,0.050083578,-0.50735486,-1.8041121,0.35441604,-1.2980837,0.56403714,-2.0879197,-1.7636184,-2.6563451,-1.2556375,-0.54241824,-0.53392655,-0.47094038,-1.3284979,-1.52506,-0.6269538,-0.83599114,-0.5957171,-0.5958298,-2.0610526,0
-479.06686,-2.5298264,-6.1002355,16.256712,-3.374051,8.858107,-4.99144,-0.7161907,-5.4628906,5.890335,-2.7479515,2.0359986,-1.9928612,5.399857,0.55423534,4.6980996,-3.9947119,3.43161,0.05992912,-1.1519277,-3.4121664,2.1428657,-2.980263,-1.072703,-1.2868294,0.24463521,-1.9909341,0.40047228,1.481018,0.66795945,2.157148,0.95594937,-0.09495534,0.40350673,0.115592666,0.29801342,-0.5120443,-0.87729776,-0.68767476,-0.42153537,0
-235.7045,83.70131,-5.1250744,8.201757,-5.099381,23.384226,-4.752377,-0.8567862,-18.165781,-2.2906508,-1.8853728,-8.369652,-0.16292389,6.426465,-7.9191384,-1.9977938,-1.5098675,5.8884983,-0.40687156,-2.877327,-11.596767,4.197015,-5.160748,1.8151956,-3.1906703,-2.1883733,-1.2392905,6.085591,-2.2394624,-5.543801,-1.843992,1.4209428,1.6201215,-1.5930233,2.2002835,-0.4929814,-4.295039,-0.04926658,-1.1266614,-1.3568162,0
-390.18884,59.406475,-7.252303,0.55507153,-10.271733,10.435653,-9.874501,-10.864868,-14.71381,-9.305848,-3.3840642,-7.485974,-3.8090606,-6.380102,-6.263265,-5.3068275,-8.509724,-10.396165,-6.9750433,-8.541203,-8.482472,-2.7436864,-2.8499823,-4.5365825,-6.377498,3.2743342,1.6692322,2.0972066,1.1314626,-3.0592058,3.1563888,-1.753003,-0.03173267,1.1348826,1.3895668,-0.86744463,2.3744416,0.1296725,0.6870933,1.5838085,0
-445.93124,70.09109,2.1989484,3.6462493,-13.748647,4.8741894,-11.231329,-5.3088636,-13.141116,-8.178429,0.34520704,-9.835753,-4.2093916,-9.26089,-3.3707864,-2.7369976,-4.859356,-6.6492095,-6.88513,-1.9362602,-2.5433466,-3.2456005,-4.6150136,-2.293407,-1.7220064,-3.1565921,-2.922409,-1.879935,-3.273893,-1.9318011,-2.0652688,-2.675528,-0.62030745,-1.9720862,-0.8585472,-1.5893006,-1.0004851,-0.6138858,-0.84992665,0.66382116,0
-338.49106,118.5093,21.642084,10.922999,13.561118,16.320633,6.1389494,2.4214935,-1.174492,-0.3712172,-4.130209,-5.582438,-9.906825,-6.189553,-4.073541,-3.1771548,-7.6682243,-7.1954546,-2.9722035,-3.267615,-6.166083,-1.9077743,-0.30816683,1.5457119,1.0866308,0.54392266,0.37445423,2.2916071,0.96677035,-2.5314302,-0.2584504,1.5807405,0.056837365,-2.6351721,-2.4618623,-0.0054062274,0.6321045,-1.7553475,1.4509089,1.7028852,0
-442.61688,52.538532,-6.7613106,10.078555,-9.800022,2.4277506,-8.785733,-11.370487,-10.983731,-11.139678,-5.0336323,-7.660239,-2.1971757,-5.907889,-5.1145363,-3.5281475,-5.15332,-3.28907,-2.1733136,-2.5608733,-2.6542256,-2.1424308,-1.2330345,3.5244498,1.7891779,0.43884087,1.9121506,0.033547495,-0.9921851,-0.3224484,0.3132857,0.79383653,-0.15596597,-1.5487651,1.9121141,1.3282839,0.6020896,0.42959097,-2.1064816,0.31497455,0
-440.69067,33.69533,-13.232003,-7.2453656,-18.086742,-9.682747,-14.486952,-8.582781,-4.679063,4.361452,-2.930788,-2.2605066,-1.9902428,0.42090866,-7.4575353,-7.6776514,-2.5919306,1.1332211,-1.9925876,1.6945833,3.5141435,2.0765262,2.4719524,1.7404087,-1.8234031,1.5286374,-0.19296055,-0.11143376,-2.711713,-1.645712,0.78542536,0.16969083,-1.5806531,1.6644303,-0.15370397,1.5939646,0.08768708,-0.38851693,-0.663051,0.5427628,0
-385.62863,47.122734,-29.322273,10.504536,-13.533905,15.950381,-21.733109,-1.5083233,-14.051556,-8.211505,-1.676758,-10.823356,5.650203,-7.047841,-2.201578,-3.5179868,-4.242546,-6.34127,-1.9286163,-3.7462418,-2.577658,0.7281694,-3.320431,1.1727712,-0.38616523,0.58266985,0.9064688,2.2502344,-1.3776636,1.0037738,1.7216272,-2.586682,-0.27898082,-0.8596201,-0.7833202,-0.0752772,-1.5467582,-1.0808572,0.64297754,-2.1187825,0
-318.60794,84.91695,-17.814308,-9.162954,-6.1944017,9.001276,1.7538385,2.086113,-19.95865,-3.9614046,-1.4701964,-6.518994,-12.404787,4.74284,-5.128214,-4.123284,-11.80163,-11.283464,-10.060914,-11.170865,-14.8181095,-0.6391258,-6.5730624,-0.4634913,0.2066667,3.4858966,-7.434384,-7.222019,-5.0998397,-2.818035,-3.5512419,-4.4740467,-2.8123395,-3.634273,3.7177231,-0.27910897,-0.022567546,1.8972203,-0.9825996,-0.44992122,0
-454.0022,26.714598,-26.168762,4.8436236,-1.631667,3.1397254,-5.829671,-3.4121392,-17.642063,-3.7888265,-1.3423436,-0.09532925,0.27303797,-5.9012613,-1.9935939,-5.30532,-2.1920223,-3.2169616,-6.6437106,-2.0447338,-5.330909,-2.1473472,-5.0114994,0.13008624,-5.147414,-0.51688874,-0.30394238,-1.2435801,1.858387,-2.0947266,2.701364,1.1192977,0.8138099,-1.8794955,1.2618293,-1.00151,0.62504095,-0.61235195,-0.41732484,0.6589305,0
-295.00735,81.07917,-46.55032,39.112114,-32.30009,13.457096,-24.622704,-22.103205,-11.828379,-4.5283422,3.0154052,-15.528574,-1.1472063,-4.3539214,-3.54655,-8.0195055,-0.6425153,-8.05322,-7.4049587,-4.382888,-5.9676604,2.2481825,-4.730973,-2.9808168,-4.3276944,-0.32954317,-2.243305,-2.9112945,1.322924,-3.38977,-0.39923543,2.7678447,-1.6579258,-2.828414,1.5709631,-0.94045585,-1.3148556,-0.4651041,0.03602719,-0.58886,0
-424.44415,66.33532,-10.129646,20.255419,17.004585,6.7295337,-1.5067972,-5.829865,-10.520365,0.28034794,-7.9021335,-3.54443,-5.1008077,-6.8162503,-9.644581,-8.051013,-14.195537,-5.0684605,-1.6797775,-9.395771,-12.840191,-0.40556714,-7.256904,-7.3451953,-7.761545,-1.9910164,-0.8519018,-5.743977,-4.656272,4.1347756,-3.8480854,-4.0840955,-1.0134325,-2.4424012,-0.9262404,-1.4840872,0.3503934,-1.1214528,-2.0088546,2.4606342,0
-425.60214,41.446236,-18.525139,10.267617,-8.280799,-4.6045885,-11.071924,-7.4122553,-5.824213,-1.6211723,-4.4780793,-8.578096,0.90699655,-6.795562,-2.893342,-0.21775317,-4.8928156,-1.9498221,0.7032908,-0.04080758,0.16535652,-1.954449,-2.3114583,0.8423188,-2.240598,-2.293313,-1.3663778,-1.6665733,-1.9548223,0.30878055,-1.6053752,-2.520948,-0.62785596,-2.6074038,0.39991194,-1.5592581,0.070071965,0.62108433,-1.7060114,0.9045391,0
-440.61633,43.698425,-29.35774,-24.2939,-48.33929,22.729403,-16.702694,-30.796173,-4.3337636,3.2935061,0.56916934,10.614325,9.159787,3.5839198,7.3402762,-2.9141026,-1.1740471,-10.133297,-1.0782609,-1.8184198,-8.144626,-1.7606304,-1.3547913,-2.1636481,0.30243826,1.358305,-3.1251202,0.7352523,-2.030192,-0.4804336,1.9414235,-0.25145578,-0.93752825,-0.18643193,0.5537323,0.13703544,0.083700016,-1.3272091,-0.7624889,-2.480125,0
-283.21085,85.18387,-51.012367,20.783234,-23.221842,12.718241,-28.374664,-3.6766195,-17.064014,-11.718622,-13.364246,-20.437517,8.420615,-19.098267,-5.8747535,-7.7225833,-13.581987,-7.0090714,-2.7272925,-7.345425,-1.7402296,-0.654572,-7.024617,2.722647,-2.4553568,4.1281266,0.24225868,-0.24699901,-1.4681394,-2.9143353,-0.8467773,-1.4179441,2.72132,-2.0887287,-1.7153434,-2.2173467,1.0785282,-0.9970661,1.8849579,1.1248512,0
-345.9925,105.027115,-23.86404,28.490555,-9.081391,0.84630656,-21.699774,-23.879477,-16.310114,-24.193596,-5.6014824,-15.158183,-16.489248,-9.972333,-2.9364493,-10.578582,-11.366464,1.4605246,-7.082236,-8.229458,-4.5534177,-2.4200273,-5.503619,-5.265069,-2.3364928,-5.276991,-3.2053056,-4.509085,-2.9551792,-1.1088749,-1.3651378,-0.043246742,0.14566849,-0.6318293,-1.3350519,-0.8039838,-1.4729307,0.49982172,-0.75224555,-1.3747504,0
