f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,covid
-389.71915,55.926735,-29.878372,19.149235,-7.1065817,-6.8507247,-19.501427,-1.2004076,-6.1456127,2.691319,-3.4648278,-14.292681,1.7672205,-3.9590898,3.4095578,-5.488576,-5.978292,-1.2159411,-6.0321116,-5.6001244,-2.5949168,-0.96815735,-4.9185915,3.487528,-1.3498445,-2.3211904,3.1848922,1.5617446,-1.1575576,0.16368805,-0.2562601,-3.85752,-1.22085,-0.59110206,-0.18406212,-3.9552188,-2.2782426,-0.5686767,-3.131164,-2.4033244,1
-820.8583,101.07537,-4.6784267,31.585423,-16.652426,11.146338,-16.820795,-5.872419,-5.4306364,-4.470118,-8.904316,4.358095,-11.767449,4.700934,-10.85126,-1.5866426,-5.7863445,-7.696,-12.219123,-4.550355,-9.500778,-2.5152938,-4.474844,-0.17843477,-0.5367846,-1.9945292,-2.138924,-4.3918757,-4.8552504,-4.181937,-2.9750743,-3.3237002,-2.6559303,-3.7376337,0.6817941,-2.1096752,-1.5666046,-1.7341847,-1.5152484,-3.283688,1
-390.47952,54.46627,-9.529082,21.619106,-24.004921,-6.897151,-15.538869,-8.057191,-9.37449,-7.1470704,-6.1110096,-7.6122255,0.36247712,-8.3250065,-2.2463176,-7.0719137,-6.2615814,-5.3398013,-5.55325,-3.0491645,-2.6931753,-1.3626401,-3.1915689,-0.9308829,-0.04957696,-0.73936224,-2.584887,0.6656086,-3.282386,-1.4683934,0.51791734,-2.8369696,0.34608638,-1.6014354,-1.6053195,-2.6304457,-1.4901488,-1.1911004,-0.9080465,-0.7822284,1
-451.33353,54.640476,-2.0864024,16.66316,2.0450044,1.5238056,-17.770216,-12.671163,-17.592697,-1.0585493,-12.332989,-8.493055,-13.533576,-0.54600394,-10.9905205,-7.6903625,-5.2852335,-6.511944,-3.905589,0.084205545,-2.631049,-4.274847,-3.9355242,0.8868988,-4.139447,-4.5173945,0.28220457,-3.552864,-1.9033135,-0.8503686,-3.3155198,0.5224853,-1.8599352,-2.071468,-0.80152965,-1.5881705,-2.898221,-2.8177066,-1.9715315,-1.4061233,1
-413.8285,64.55288,-25.42603,-1.3059297,-20.890589,10.078624,-22.739899,-7.6977773,-18.032658,-7.4231544,-3.1514285,-6.5552077,-1.1814684,-3.0839798,-0.9502303,-11.597737,-1.8432362,-3.9796777,-2.5723267,-5.0547805,-5.0567675,-6.307903,-3.8833842,0.2078517,-4.10509,-0.79193276,-1.243074,-1.8071848,-1.3969868,0.123767786,0.16895653,1.950818,0.54614085,1.2153366,2.2266998,0.8134681,-0.57673043,0.17186345,1.5254147,0.31090096,1
-400.8105,62.338287,-16.318213,15.361431,-9.848325,-0.8680579,-18.225643,-8.795517,-19.474663,0.49960333,7.354086,-11.327753,0.043954737,-8.226724,2.6328874,-2.145008,-7.8937597,-3.346706,-5.9178166,-7.221392,-5.8911366,-0.4454946,-6.7802176,-5.2093496,-2.211489,-2.9208028,-1.0727552,1.3795702,-1.1470466,-0.5993265,1.842859,-1.1251754,1.3169417,0.99310356,0.13412957,-1.5566616,-1.710836,0.043208234,1.6323891,0.72587174,1
-362.74625,42.98922,-12.191142,19.340305,-19.527334,5.16167,-8.676898,-14.683883,-7.6313195,3.8885558,-4.0090046,-1.5093373,4.0589695,-1.5568871,3.0186071,-3.0219254,-0.22479431,-4.7715034,-3.3386714,-1.7780336,-1.9254766,-2.1483982,-1.740375,0.0035964844,-0.60686624,2.11667,-1.1403747,0.86815155,0.44195414,-0.434813,-1.3258908,-0.7094919,0.27779847,-1.1654934,0.7290264,-0.052721534,-0.4873413,-0.1904217,-1.3144999,-0.5003253,1
-406.00153,39.017994,0.35391143,13.687361,-13.8984165,4.485101,-0.36095095,-2.2108617,-2.9129763,-11.14533,-1.6200079,-5.7387633,0.19095883,-0.64518523,-9.815261,-2.489619,-3.9960213,-5.9892464,-1.7147323,-2.8799646,-4.2397404,-2.52933,-1.676928,-0.6400714,-4.2075534,-4.0926275,0.0073778676,-1.7001845,-0.21288097,0.8336427,-2.0604608,1.3457744,-0.077285156,-1.5922252,1.1697487,-1.5937274,-0.07207342,1.0041773,-1.0169196,0.540432,1
-400.25775,65.43495,-10.942787,19.128609,-10.880058,1.1082592,-18.819983,-3.765175,-11.7664,0.03385527,2.717217,-13.369978,-1.3141338,-9.139313,1.1235808,-4.9972253,-7.6685605,-6.9450665,-7.098722,-5.429567,-6.44899,2.3436935,-3.6359031,-3.72875,-2.309248,-3.4675002,-3.2473378,-0.07381091,-1.6681029,-2.035207,0.082713366,-2.4445724,1.8140792,-1.022776,-2.2232711,-0.67215043,0.6433809,0.64777195,-0.2539554,0.9590021,1
-551.9602,25.551252,-1.4333389,17.790668,-12.247804,4.8576665,-10.65351,3.6184096,-2.9988935,-3.0831888,-0.83789724,-6.4150367,-4.078728,-6.337852,1.2628788,-7.3618765,-2.675904,-3.6833453,-4.6293373,-2.0158904,-0.8627746,0.7300721,-3.0469341,1.5924554,0.35817254,-1.7624316,-3.6291988,-2.437831,-0.26122415,-0.34340712,-0.43198016,0.7738138,0.69733447,-0.016462725,2.0225794,0.7556088,0.708431,0.026862282,0.20082833,0.5966067,1
